Price,Date
269,07/05/2023
269,07/05/2023
269,08/05/2023
269,08/05/2023
269,08/05/2023
269,09/05/2023
269,09/05/2023
269,09/05/2023
269,10/05/2023
269,10/05/2023
269,10/05/2023
269,11/05/2023
269,11/05/2023
269,11/05/2023
269,12/05/2023
269,12/05/2023
269,12/05/2023
269,13/05/2023
269,13/05/2023
269,13/05/2023
269,14/05/2023
269,14/05/2023
269,14/05/2023
269,15/05/2023
269,15/05/2023
264,15/05/2023
264,16/05/2023
264,16/05/2023
264,16/05/2023
264,17/05/2023
264,17/05/2023
264,17/05/2023
264,18/05/2023
264,18/05/2023
264,18/05/2023
264,19/05/2023
264,19/05/2023
264,19/05/2023
264,20/05/2023
264,20/05/2023
264,20/05/2023
264,21/05/2023
264,21/05/2023
264,21/05/2023
264,22/05/2023
264,22/05/2023
264,22/05/2023
264,23/05/2023
264,23/05/2023
264,23/05/2023
264,24/05/2023
264,24/05/2023
264,24/05/2023
264,25/05/2023
264,25/05/2023
264,25/05/2023
264,26/05/2023
264,26/05/2023
264,26/05/2023
264,27/05/2023
264,27/05/2023
264,28/05/2023
264,28/05/2023
264,28/05/2023
264,29/05/2023
264,29/05/2023
264,29/05/2023
264,30/05/2023
264,30/05/2023
264,30/05/2023
264,31/05/2023
264,31/05/2023
264,31/05/2023
264,01/06/2023
264,01/06/2023
264,01/06/2023
264,02/06/2023
264,02/06/2023
264,02/06/2023
264,03/06/2023
264,03/06/2023
264,03/06/2023
264,04/06/2023
264,04/06/2023
264,04/06/2023
264,05/06/2023
264,05/06/2023
264,05/06/2023
264,06/06/2023
264,06/06/2023
264,06/06/2023
264,07/06/2023
264,07/06/2023
264,07/06/2023
264,08/06/2023
211,08/06/2023
211,08/06/2023
211,09/06/2023
211,09/06/2023
211,09/06/2023
211,10/06/2023
211,10/06/2023
211,10/06/2023
211,11/06/2023
211,11/06/2023
211,11/06/2023
211,12/06/2023
211,12/06/2023
211,12/06/2023
211,13/06/2023
211,13/06/2023
211,13/06/2023
211,14/06/2023
211,14/06/2023
211,14/06/2023
211,15/06/2023
223,15/06/2023
264,15/06/2023
264,16/06/2023
264,16/06/2023
264,16/06/2023
264,17/06/2023
264,17/06/2023
264,17/06/2023
264,18/06/2023
264,18/06/2023
264,18/06/2023
264,19/06/2023
264,19/06/2023
264,19/06/2023
264,20/06/2023
264,20/06/2023
264,20/06/2023
264,21/06/2023
264,21/06/2023
264,21/06/2023
264,22/06/2023
264,22/06/2023
264,22/06/2023
264,23/06/2023
264,23/06/2023
264,23/06/2023
264,24/06/2023
264,24/06/2023
264,24/06/2023
264,25/06/2023
264,25/06/2023
264,25/06/2023
264,26/06/2023
264,26/06/2023
264,26/06/2023
264,27/06/2023
264,27/06/2023
264,27/06/2023
264,28/06/2023
264,28/06/2023
264,28/06/2023
264,29/06/2023
264,29/06/2023
264,29/06/2023
264,30/06/2023
264,30/06/2023
264,30/06/2023
264,01/07/2023
264,01/07/2023
264,01/07/2023
264,02/07/2023
264,02/07/2023
264,02/07/2023
264,03/07/2023
264,03/07/2023
264,03/07/2023
264,04/07/2023
264,04/07/2023
264,04/07/2023
264,05/07/2023
264,05/07/2023
264,05/07/2023
264,06/07/2023
264,06/07/2023
264,06/07/2023
264,07/07/2023
264,07/07/2023
264,07/07/2023
264,08/07/2023
264,08/07/2023
264,08/07/2023
264,09/07/2023
264,09/07/2023
264,09/07/2023
264,10/07/2023
264,10/07/2023
264,10/07/2023
264,11/07/2023
264,11/07/2023
264,12/07/2023
264,12/07/2023
264,12/07/2023
