Price,Date
6846,06/05/2023
6847,06/05/2023
6847,07/05/2023
6847,07/05/2023
6847,07/05/2023
6848,07/05/2023
6848,07/05/2023
6848,08/05/2023
6848,08/05/2023
6850,08/05/2023
6649,09/05/2023
6649,09/05/2023
6649,09/05/2023
6642,10/05/2023
6642,10/05/2023
6642,10/05/2023
6644,11/05/2023
6644,11/05/2023
6644,11/05/2023
6654,12/05/2023
6654,12/05/2023
6654,12/05/2023
6658,13/05/2023
6658,13/05/2023
6658,13/05/2023
6658,14/05/2023
6658,14/05/2023
6658,14/05/2023
6658,15/05/2023
6658,15/05/2023
6658,15/05/2023
6664,16/05/2023
6664,16/05/2023
6664,16/05/2023
6677,17/05/2023
6677,17/05/2023
6677,17/05/2023
6697,18/05/2023
6697,18/05/2023
6697,18/05/2023
6713,19/05/2023
5600,19/05/2023
6713,19/05/2023
6720,20/05/2023
6720,20/05/2023
6720,20/05/2023
6720,21/05/2023
6720,21/05/2023
6720,21/05/2023
6720,22/05/2023
6720,22/05/2023
6720,22/05/2023
5588,23/05/2023
5588,23/05/2023
5588,23/05/2023
5588,24/05/2023
5588,24/05/2023
5580,24/05/2023
5580,25/05/2023
5580,25/05/2023
5571,25/05/2023
5571,26/05/2023
5571,26/05/2023
5565,26/05/2023
5565,27/05/2023
5565,27/05/2023
5565,28/05/2023
5565,28/05/2023
5565,28/05/2023
5565,29/05/2023
5565,29/05/2023
5565,29/05/2023
5565,30/05/2023
5565,30/05/2023
6693,30/05/2023
6701,31/05/2023
6701,31/05/2023
6701,31/05/2023
6709,01/06/2023
6709,01/06/2023
5516,01/06/2023
5516,02/06/2023
5516,02/06/2023
5516,02/06/2023
5516,03/06/2023
5516,03/06/2023
5509,03/06/2023
5509,04/06/2023
5509,04/06/2023
5509,04/06/2023
5509,05/06/2023
5509,05/06/2023
5509,05/06/2023
5509,06/06/2023
5509,06/06/2023
5509,06/06/2023
5509,07/06/2023
5509,07/06/2023
5463,07/06/2023
5463,08/06/2023
5463,08/06/2023
5440,08/06/2023
5440,09/06/2023
5440,09/06/2023
6688,09/06/2023
5343,10/06/2023
5343,10/06/2023
5345,10/06/2023
5345,11/06/2023
5345,11/06/2023
5345,11/06/2023
5345,12/06/2023
5345,12/06/2023
5345,12/06/2023
5345,13/06/2023
5345,13/06/2023
5345,13/06/2023
5345,14/06/2023
5345,14/06/2023
5350,14/06/2023
5350,15/06/2023
5350,15/06/2023
6690,15/06/2023
6694,16/06/2023
6694,16/06/2023
6694,16/06/2023
6696,17/06/2023
5347,17/06/2023
6696,17/06/2023
6696,18/06/2023
6696,18/06/2023
6696,18/06/2023
6696,19/06/2023
6696,19/06/2023
6696,19/06/2023
6695,20/06/2023
6695,20/06/2023
6695,20/06/2023
6700,21/06/2023
5348,21/06/2023
6700,21/06/2023
6699,22/06/2023
6699,22/06/2023
6699,22/06/2023
6700,23/06/2023
6700,23/06/2023
6700,23/06/2023
6690,24/06/2023
6690,24/06/2023
6690,24/06/2023
6690,25/06/2023
6690,25/06/2023
6690,25/06/2023
6690,26/06/2023
6690,26/06/2023
6690,26/06/2023
6690,27/06/2023
6690,27/06/2023
6690,27/06/2023
6700,28/06/2023
6700,28/06/2023
6700,28/06/2023
6693,29/06/2023
6693,29/06/2023
6693,29/06/2023
6702,30/06/2023
6702,30/06/2023
6702,30/06/2023
6700,01/07/2023
5291,01/07/2023
5290,01/07/2023
5290,02/07/2023
5290,02/07/2023
5290,02/07/2023
5290,03/07/2023
5290,03/07/2023
5290,03/07/2023
5290,04/07/2023
5290,04/07/2023
5278,04/07/2023
5278,05/07/2023
5278,05/07/2023
5276,05/07/2023
5276,06/07/2023
5276,06/07/2023
6678,06/07/2023
6683,07/07/2023
6683,07/07/2023
6683,07/07/2023
6687,08/07/2023
6687,08/07/2023
6687,08/07/2023
6687,09/07/2023
6687,09/07/2023
6687,09/07/2023
6687,10/07/2023
6687,10/07/2023
6687,10/07/2023
6684,11/07/2023
6684,11/07/2023
6682,12/07/2023
6682,12/07/2023
6682,12/07/2023
